Description: Standardized Precipitation Evapotranspiration Index (SPEI) at timescales between 1 and 48 months. Each column is a time series of monthly SPEI values starting on January 1901. Units: standard (Z) scores, i.e. normally distributed values with mean 0 and unit standard deviation. Missing value: NA. Not a number: nan. Version: 2.5 - July 2017. Comment: Using Penman equation for ET. Creators: Santiago Beguería - santiago.begueria_add_the_at_symbol_csic.es and Sergio Vicente-Serrano - svicen_add_the_at_symbol_ipe.csic.es.
SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
1.78055,1.22306,1.21202,1.37648,1.53533,1.55054,1.75003,1.53076,1.30351,1.42029,1.00603,0.79415,0.64338,0.79284,0.8718,0.87294,0.96762,1.2026,1.23312,1.21687,1.2885,1.22769,1.2828,1.65823,1.42848,1.52575,1.60883,1.62906,1.58203,1.50442,1.4098,1.32783,1.21325,1.15546,1.19311,1.18786,1.11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.16049,1.32416,0.83065,0.87055,1.0492,1.21885,1.29118,1.52292,1.31691,1.10998,1.25611,0.86936,0.64112,0.51259,0.6791,0.77185,0.77863,0.87379,1.11333,1.14458,1.13026,1.20621,1.15426,1.21244,1.61355,1.38572,1.49094,1.58004,1.5961,1.54778,1.46764,1.37251,1.2905,1.17518,1.11929,1.15072,1.14637,1.07841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.75069,-1.39292,0.3532,-0.0588,0.03597,0.22735,0.40618,0.5212,0.7777,0.58483,0.45046,0.67021,0.30184,0.06954,0.01766,0.20331,0.32896,0.34835,0.44044,0.70241,0.74335,0.72462,0.80875,0.76318,0.85444,1.2848,1.06622,1.18294,1.28678,1.31631,1.26606,1.18302,1.09339,1.00842,0.89271,0.8372,0.87675,0.86744,0.81111,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.95287,0.34898,0.05839,1.06132,0.68341,0.73349,0.87188,1.01099,1.0991,1.2946,1.14774,1.00442,1.15298,0.83923,0.63314,0.52188,0.66919,0.7598,0.76898,0.85432,1.07334,1.09787,1.08462,1.15325,1.10562,1.16966,1.53543,1.33642,1.43133,1.51086,1.5296,1.48615,1.421,1.34195,1.26748,1.16563,1.11557,1.13705,1.13361,1.07195,NA,NA,NA,NA,NA,NA,NA,NA
0.34497,1.66705,0.33995,0.08259,1.04037,0.67092,0.71839,0.86053,1.00152,1.08885,1.28532,1.137,0.99358,1.14279,0.83022,0.62926,0.51492,0.66623,0.75718,0.7647,0.84964,1.07038,1.09564,1.08207,1.14625,1.09869,1.16537,1.53093,1.33921,1.43268,1.50767,1.52727,1.48347,1.41762,1.34031,1.26455,1.16263,1.11217,1.13788,1.13307,1.07076,NA,NA,NA,NA,NA,NA,NA
-0.41314,-0.04156,1.42047,0.17516,-0.03825,0.94337,0.57821,0.63384,0.77862,0.92041,1.01092,1.2084,1.05717,0.91654,1.07052,0.75843,0.56274,0.45542,0.60779,0.69914,0.70718,0.79114,1.01397,1.04028,1.02562,1.0894,1.04414,1.11654,1.49266,1.3015,1.39891,1.47744,1.49836,1.4505,1.3807,1.30225,1.22487,1.12239,1.07098,1.09951,1.09504,1.03459,NA,NA,NA,NA,NA,NA
1.60647,1.01018,0.79147,1.64696,0.62098,0.39897,1.16973,0.84413,0.88129,1.01427,1.143,1.21683,1.39537,1.25518,1.11962,1.25594,0.94679,0.76491,0.63801,0.78344,0.86487,0.86795,0.94757,1.15517,1.17592,1.16174,1.21793,1.17383,1.23906,1.58822,1.40643,1.49659,1.56562,1.58231,1.53802,1.47459,1.39898,1.32462,1.22758,1.17815,1.20293,1.20064,1.13505,NA,NA,NA,NA,NA
0.1103,0.97065,0.64017,0.56535,1.42838,0.54594,0.36886,1.11219,0.80908,0.84538,0.96646,1.08747,1.14778,1.31161,1.18195,1.06283,1.19698,0.89585,0.7218,0.60391,0.7497,0.82949,0.83307,0.90951,1.11135,1.13299,1.11723,1.17161,1.12824,1.19417,1.52478,1.35245,1.44695,1.51529,1.53413,1.48961,1.42482,1.35279,1.2815,1.18707,1.13864,1.16373,1.15788,1.09423,NA,NA,NA,NA
0.0676,0.00707,0.74517,0.4945,0.44793,1.27333,0.4613,0.31379,1.06281,0.77271,0.81445,0.93362,1.0482,1.09756,1.25456,1.12534,1.01049,1.14007,0.85165,0.6864,0.5726,0.71958,0.79878,0.80291,0.87574,1.07352,1.0953,1.07951,1.13463,1.09454,1.16372,1.49406,1.3245,1.42137,1.49252,1.51221,1.4668,1.40116,1.32944,1.25782,1.1632,1.11252,1.13912,1.13177,1.0701,NA,NA,NA
-1.4854,-1.01238,-0.75184,0.13275,-0.02787,0.03096,0.94411,0.14209,0.0184,0.8601,0.55851,0.61561,0.74292,0.86135,0.91693,1.08327,0.94407,0.82749,0.96387,0.67466,0.51138,0.41074,0.56235,0.64695,0.65613,0.73346,0.9374,0.96523,0.94976,1.009,0.9714,1.04596,1.38837,1.21842,1.32266,1.4011,1.42427,1.37636,1.31044,1.23666,1.16346,1.06635,1.01526,1.04632,1.0379,0.97977,NA,NA
