year,parasitism
1931-02-01,0.26836231
1931-03-01,0.26848281
1931-04-01,0.26860331
1931-05-01,0.26872381
1931-06-01,0.26884431
1931-07-01,0.26896481
1931-08-01,0.26908531
1931-09-01,0.26920581
1931-10-01,0.26932631
1931-11-01,0.26944681
1931-12-01,0.26956731
1932-01-01,0.26968781
1932-02-01,0.26980831
1932-03-01,0.26992881
1932-04-01,0.27004931
1932-05-01,0.27016981
1932-06-01,0.27029031
1932-07-01,0.27041081
1932-08-01,0.27053131
1932-09-01,0.27065181
1932-10-01,0.27077231
1932-11-01,0.27089281
1932-12-01,0.27101331
1933-01-01,0.27113381
1933-02-01,0.27125431
1933-03-01,0.27137481
1933-04-01,0.27149531
1933-05-01,0.27161581
1933-06-01,0.27173631
1933-07-01,0.27185681
1933-08-01,0.27197731
1933-09-01,0.27209781
1933-10-01,0.27221831
1933-11-01,0.27233881
1933-12-01,0.27245931
1934-01-01,0.27257981
1934-02-01,0.27270031
1934-03-01,0.27282081
1934-04-01,0.27294131
1934-05-01,0.27306181
1934-06-01,0.27318231
1934-07-01,0.27330281
1934-08-01,0.27342331
1934-09-01,0.27354381
1934-10-01,0.27366431
1934-11-01,0.27378481
1934-12-01,0.27390531
1935-01-01,0.27402581
1935-02-01,0.27414631
1935-03-01,0.27426681
1935-04-01,0.27438731
1935-05-01,0.27450781
1935-06-01,0.27462831
1935-07-01,0.27474881
1935-08-01,0.27486931
1935-09-01,0.27498981
1935-10-01,0.27511031
1935-11-01,0.27523081
1935-12-01,0.27535131
1936-01-01,0.27547181
1936-02-01,0.27559231
1936-03-01,0.27571281
1936-04-01,0.27583331
1936-05-01,0.27595381
1936-06-01,0.27607431
1936-07-01,0.27619481
1936-08-01,0.27631531
1936-09-01,0.27643581
1936-10-01,0.27655631
1936-11-01,0.27667681
1936-12-01,0.27679731
1937-01-01,0.27691781
1937-02-01,0.27703831
1937-03-01,0.27715881
1937-04-01,0.27727931
1937-05-01,0.27739981
1937-06-01,0.27752031
1937-07-01,0.27764081
1937-08-01,0.27776131
1937-09-01,0.27788181
1937-10-01,0.27800231
1937-11-01,0.27812281
1937-12-01,0.27824331
1938-01-01,0.27836381
1938-02-01,0.27848431
1938-03-01,0.27860481
1938-04-01,0.27872531
1938-05-01,0.27884581
1938-06-01,0.27896631
1938-07-01,0.27908681
1938-08-01,0.27920731
1938-09-01,0.27932781
1938-10-01,0.27945831
1938-11-01,0.279591143
1938-12-01,0.279723976
1939-01-01,0.27985681
1939-02-01,0.279989643
1939-03-01,0.280122476
1939-04-01,0.28025531
1939-05-01,0.280388143
1939-06-01,0.280520976
1939-07-01,0.28065381
1939-08-01,0.280786643
1939-09-01,0.280919476
1939-10-01,0.28105231
1939-11-01,0.281185143
1939-12-01,0.281317976
1940-01-01,0.28145081
1940-02-01,0.281583643
1940-03-01,0.281716476
1940-04-01,0.28184931
1940-05-01,0.281982143
1940-06-01,0.282114976
1940-07-01,0.28224781
1940-08-01,0.282380643
1940-09-01,0.282513476
1940-10-01,0.28264631
1940-11-01,0.282779143
1940-12-01,0.282911976
1941-01-01,0.28304481
1941-02-01,0.283196393
1941-03-01,0.283357976
1941-04-01,0.28351956
1941-05-01,0.283681143
1941-06-01,0.283842726
1941-07-01,0.28400431
1941-08-01,0.284165893
1941-09-01,0.284327476
1941-10-01,0.28448906
1941-11-01,0.284650643
1941-12-01,0.284812226
1942-01-01,0.28497381
1942-02-01,0.285135393
1942-03-01,0.285296976
1942-04-01,0.28545856
1942-05-01,0.285620143
1942-06-01,0.285781726
1942-07-01,0.28594331
1942-08-01,0.286104893
1942-09-01,0.286266476
1942-10-01,0.28642806
1942-11-01,0.286589643
1942-12-01,0.286751226
1943-01-01,0.28691281
1943-02-01,0.287074393
1943-03-01,0.287235976
1943-04-01,0.28739756
1943-05-01,0.287561976
1943-06-01,0.287740518
1943-07-01,0.28791906
1943-08-01,0.288097601
1943-09-01,0.288276143
1943-10-01,0.288454685
1943-11-01,0.288633226
1943-12-01,0.288811768
1944-01-01,0.28899031
1944-02-01,0.289168851
1944-03-01,0.289347393
1944-04-01,0.289525935
1944-05-01,0.289704476
1944-06-01,0.289883018
1944-07-01,0.29006156
1944-08-01,0.290240101
1944-09-01,0.290418643
1944-10-01,0.290597185
1944-11-01,0.290775726
1944-12-01,0.290954268
1945-01-01,0.29113281
1945-02-01,0.291311351
1945-03-01,0.291489893
1945-04-01,0.291668435
1945-05-01,0.291846976
1945-06-01,0.292025518
1945-07-01,0.29220406
1945-08-01,0.292382601
1945-09-01,0.292561143
1945-10-01,0.292739685
1945-11-01,0.292918226
1945-12-01,0.293096768
1946-01-01,0.29327531
1946-02-01,0.293453851
1946-03-01,0.293632393
1946-04-01,0.293810935
1946-05-01,0.293989476
1946-06-01,0.294168018
1946-07-01,0.29434656
1946-08-01,0.294525101
1946-09-01,0.294703643
1946-10-01,0.294882185
1946-11-01,0.295060726
1946-12-01,0.295239268
1947-01-01,0.29541781
1947-02-01,0.295596351
1947-03-01,0.295774893
1947-04-01,0.295953435
1947-05-01,0.296131976
1947-06-01,0.296310518
1947-07-01,0.29648906
1947-08-01,0.296667601
1947-09-01,0.296846143
1947-10-01,0.297024685
1947-11-01,0.297203226
1947-12-01,0.297381768
1948-01-01,0.29756031
1948-02-01,0.297738851
1948-03-01,0.297917393
1948-04-01,0.298095935
1948-05-01,0.298274476
1948-06-01,0.298453018
1948-07-01,0.29863156
1948-08-01,0.298810101
1948-09-01,0.298988643
1948-10-01,0.299167185
1948-11-01,0.299345726
1948-12-01,0.299524268
1949-01-01,0.29970281
1949-02-01,0.299881351
1949-03-01,0.300059893
1949-04-01,0.300238435
1949-05-01,0.300416976
1949-06-01,0.300595518
1949-07-01,0.30077406
1949-08-01,0.300952601
1949-09-01,0.301131143
1949-10-01,0.301309685
1949-11-01,0.301488226
1949-12-01,0.301666768
1950-01-01,0.30184531
1950-02-01,0.302023851
1950-03-01,0.302202393
1950-04-01,0.302380935
1950-05-01,0.302559476
1950-06-01,0.302738018
1950-07-01,0.30291656
1950-08-01,0.303095101
1950-09-01,0.303273643
1950-10-01,0.303452185
1950-11-01,0.303630726
1950-12-01,0.303809268
1951-01-01,0.30398781
1951-02-01,0.304166351
1951-03-01,0.304344893
1951-04-01,0.304523435
1951-05-01,0.304701976
1951-06-01,0.304880518
1951-07-01,0.30505906
1951-08-01,0.305237601
1951-09-01,0.305416143
1951-10-01,0.305594685
1951-11-01,0.305773226
1951-12-01,0.305951768
1952-01-01,0.30613031
1952-02-01,0.306308851
1952-03-01,0.306487393
1952-04-01,0.306665935
